# Global Tech Roles Employment and Compensation Data (2022-2025)
# Research compiled from public industry sources
# Data includes projections through 2035 where available
# All currency values in USD unless otherwise specified
# Source citations include web reference numbers for verification

Topic,Year,Metric,Value,Unit,Region/Role,Source
web:21 - WowRemoteTeams | UI/UX Designer Salary (2024-12-21)
       | UX avg: $93,195 | UI avg: $84,956 | Total comp: $171,217

web:24 - CareerFoundry | UX Designer Salary Guide (2025-01-05)
       | Junior: $78,961 | Mid: $124,415 | Senior: $129,828 | Manager: $171,884

web:26 - Next Platform | Gartner AI Spending Forecast (2025-09-25)
       | IT spending: $692.1B (2024) → $1.09T (2025) → $1.49T (2026)
       | AI datacenter share: 22.6% (2024) → 32.1% (2025) → ~40% (2026)

web:28 - BLS | Software Developers and QA Occupations (2025-08-27)
       | 15% employment growth (2024-2034), 287,900 annual openings
       | Median SWE salary: $131,450 | QA salary: $102,610

web:29 - Pangea.ai | Fastest Growing AI Roles 2025 (2025-04-15)
       | 170M jobs created vs 92M displaced by AI by 2030
       | AI engineer growth: +143.2% YoY

web:30 - Motion Recruitment | Cloud Computing Salary 2025 (2024-10-31)
       | Cloud architects: $190k (max) | Senior engineers: $183k | SF peak: $237k

web:31 - Ravio | Tech Hiring Trends 2025 (2025-10-16)
       | European hiring: 29% (stable) | UK: 32% | Germany: 30% | Sweden: 17%

web:32 - Autodesk | AI Jobs Report 2025 (2025-07-08)
       | AI engineer growth: +143.2% | AI Solutions Architect: +109.3%
       | AI content creator: +134.5% | AI mentions: +120.6% YoY

=== METHODOLOGY NOTES ===

PROJECTIONS METHODS:
- 2030 Software Developer Count: Evans Data Corporation forecasts + State of Developer Nation
- 2033-2034 BLS Projections: Extrapolated from 15% growth rate (2024-2034)
- 2035 QA Market: Research Nester analysis (CAGR: 7.7%)
- 2026 Platform Engineering: Gartner forecast based on adoption curve
- AI Job Impact: WEF Future of Jobs Report 2025

SALARY NOTES:
- US salaries show declining trend 2023-2025 (remote globalization, market correction)
- LATAM/MENA show 40-60% discount vs Western Europe but growing rapidly
- San Francisco remains highest ($237k for senior cloud engineers)
- SDET/QA automation experiencing premium compensation (24%+ for modern tools)

INVESTMENT TRENDS:
- AI captured 36% of digital budgets in 2025 (primary growth driver)
- Cloud/platform: 11% of AI budgets (foundational infrastructure)
- Datacenter spending surge driven by AI workloads (22.6% → 32.1% of spend)

EMERGING SPECIALTIES:
- Platform Engineering: 35% increase in adoption target (45% → 80% by 2026)
- AI Roles: Fastest growing (+109-143% YoY across specializations)
- QA Evolution: From manual testing to automation engineers requiring DSA skills (32% of postings)
- Test Framework Tools: Playwright/Cypress replacing Selenium (modern tools: 68-73% adoption)

REGIONAL INSIGHTS:
- Europe: Slowest growth (0.9% digital sector), highest hiring caution (Sweden: 17%)
- LATAM: Fastest talent pipeline (700k grads/year), 40-60% cost arbitrage
- MENA: Strong AI adoption (74% weekly usage vs 40% Europe), 4.5% growth
- North America: Largest salary premiums, shift to remote hiring in LATAM/Eastern Europe

=== DATA QUALITY & LIMITATIONS ===

CONFIDENCE LEVEL: High for 2023-2025 data (public reports, industry surveys)
PROJECTION CONFIDENCE: Medium (2026+) - based on CAGR extrapolation
GAPS: Incomplete APAC regional breakdown, limited data on non-English speaking regions
CURRENCY: All values in USD; some regional data normalized from local sources
UPDATES: Data collected November 2024 - October 2025
